RU/UK,EN
київському,kiev
полежай,come down
хонку,hunk
віктор янукович,viktor yanukovych
хонки,hunts
резиденції межигір'я,residences mezhigorya
урядовому кварталі києва,government quarter of kiev
майдану,maidan
майдані,maidan
центрі києва,center of kiev
банковій,bank
києві,kiev
адміністрації президента,presidential administration
любов полежай,love to come down
інститутській,institute
ліга.net,league.net
межигір'я,mezhigriya
віктора януковича молодшого,viktor yanukovych jr.
об'єкті хонка,hook object
facebook,facebook
януковича,yanukovych
януковичу,yanukovych
януковичем,yanukovych
концерну алмаз-антей,concern diamond-antey
оон № 2166,un no 2166
київ,kiev
сша,usa
американських,american
сніжному,snowy
україні,ukraine
україни,ukraine
ракетою бук,missile beech
сніжне,snowy
mh17,mh17
вестербеке,vestrebeck
боїнг рейсу мн17,boeing flight mn17
боїнга рейсу мн17,boeing flight mn17
громадське публікує,public publishes
сергія тіунова,sergey tyunov
kochetkov,kochetkov
нідерландах,the netherlands
малайзія,malaysia
хмурому,somber
боїнг мн17,boeing 17
сергія дубинського,sergey dubinsky
україною,ukraine
куала-лумпур,kuala lumpur
росії,russia
37-річним,37 years old
малайзійський,malaysian
ради безпеки нідерландів,for the safety of the netherlands
iafpa,iafpa
боїнг,boating
ростовську область,rostov region
telegram,telegram
російськими,russian
бельгія,belgium
янукович,yanukovych
українська,ukrainian
україна,ukraine
українську,ukrainian
український,ukrainian
луганської,luhansk
вр,wed
українському,ukrainian
путін,putin
києва,kiev
канцлером,chancellor
східної україни,eastern ukraine
віктор ющенко,viktor yushchenko
югославію,yugoslavia
володимир путін,volodymyr putin
африці,africa
японія,japan
росіяни,russians
внутрішніх військ,internal troops
фсб,fsb
чф,chess
дніпровського,dnieper
європі,europe
нато,nato
лівії,left
беркута,golden eagle
китайську народну республіку,chinese people's republic
муаммара каддафі,muammar kadafi
володимиром путіним,volodymyr putin
україну,ukraine
сирію,syrup
африканську,african
китай,china
московські,moscow
східним европолюсом,eastern europole
дубаї,dubai
парламенту,the parliament
німецькій,german
африканський союз,african union
газпромі,gazprom
китаю,china
чорноморо-балтійської,black sea-baltic
кає,caes
донецької,donetsk
європейський,european
склад столичних рввс,composition of the capital city
ап,up
європи,europe
фсб рф,fsb rf
євроспільноти,eurocommunities
євроспільноті,european community
андрій козирєв,andrew kozirev
лівію,left
кримську,the crimean
донбас,donbas
російського,russian
рф,rf
російську,russian
російська федерація,russian federation
росія,russia
російські,russian
срср,ssr
озу люкс,ozu suite
озг люкс,ozg suite
харків,kharkiv
удо,udo
віктора януковича,viktor yanukovych
юрій колєсніков,yuriy kolesnikov
донбасі,donbass
хмурого,frowny
новой фред вестербеке,new fred vestrebecke
dutch safety board,dutch safety board
ростові,growing up
українською,in ukrainian
павлом канигіним,pavel kanigin
зарощенське,bush
нідерландів,the netherlands
амстердам,amsterdam
боїнгу,boing up
росіян,russians
мн17,mn17
nbc,nbc
ракету бук,rocket beech
ракети бук,missiles beech
російському,russian
землі,land
волошин,hulls
алмаз-антей,diamond-antey
алмаз-антея,diamond antea
роттердамі,rotterdam
фредом вестербеке,freed vestrebecke
фреда вестербеке,freda vestrebecke
малайзійської,malaysian
міжнародна слідча група,international investigation team
буком,beech
боїнга,boating
бук,beech
стрєлкова,strelkova
ростовській області,rostov region
новой газетой тиунов,a new thyon newspaper
малайзійського,malaysian
ньювегейні,newwegen
російська,russian
павло канигін,pavel kanigin
міжнародної слідчої групи,international investigation team
бука,beech
фред ветсербеке,fred vasterbeke
міжнародної асоціації криміналістичної фонетики й акустики,international association of forensic phonetics and acoustics
atlantic council,atlantic council
москва,moscow
цивільний літак рейсу мн17,civil flight plane mn17
москвою,moscow
міністерстві оборони рф,ministry of defense of rf
epa/yuri,epa / yuri
пане вестеребеке,mr. vesberbek
пане вестербеке,mr. lesterbeck
клюєву,klyuev
мвс,mvs
української держави,the ukrainian state
східна сибір,eastern siberia
російсько-китайські,russian-chinese
віктором януковичем,viktor yanukovych
мвс україни,mvs of ukraine
резиденцію межигір'я,residence of mezhigorya
великобританія,uk
іран,iran
москви,moscow
оболонського,obolonsky
вв,wed
північному морі,north sea
уренгой-самара-ужгород,urengoy-samara-uzhhorod
зс рф,zsrf
кнр,tsr
путіна,putin
конгрес африканської єдності,congress of african unity
московсько-українська,moscow-ukrainian
михайло горбачов,mikhail gorbachev
кримської,the crimean
оае,okay
парламент,parliament
східної,eastern
кримсько-татарської автономії,crimean tatar autonomy
пруссію,prussia
москві,moscow
путінська,putin's
українського,ukrainian
ростов,rostov
єгипет,egypt
зс росії,the russians
центрального апарату мвс україни,the central office of the ministry of foreign affairs of ukraine
польща,polish
африку,africa
ринат ахметов,rhinates of ahmetov
меркель,merkel
ангела меркель,angel merkel
крим,crimea
харківський,kharkiv
єс,yes
каддафі,kadafi
гельмут коль,helmut kol
міліція,police
дарницького рввс м. києва,darnytsya rvvs m. kiev
рввс,rvvs
китайську,chinese
студентського майдану,student's square
дубинським,dubinsky
кордону росії,the border of russia
голландії,holland
нідерланди,netherlands
epa/robin,epa / robin
малайзійських авіаліній,malaysian airlines
донбасу,donbass
радбезі,freebie
epa/maxim,epa / maxim
австралія,australia
зарощенського,zaroshchensky
буки,beeches
epa/jerry,epa / jerry
первомайське,pomeranian
ростовського,rostov
jit,jit
інтерполу,interpol
сполучених штатів,united states
держкомпанії алмаз-антей,state company diamond-antey
східної європи,eastern europe
дніпрі,dnipro
російської,russian
українських,ukrainian
оон,un
сергій тіунов,serhiy tyunov
лнр,lnr
прізвисько хмурий,nickname is gloomy
рейсу мн17,flight mn17
bellingcat,bellingcat
зенітного комплексу бук,anti-aircraft complex beech
днр,dnr
прокуратура,prosecutor's office
сергій дубинський,sergey dubinsky
сніжного,snowy
росію,russia
криму,the crimea
москву,moscow
віктор федорович янукович,viktor fedorovich yanukovych
фсо рф,fso pf
китайським,chinese
верховної ради,supreme council
групи булат,bullet group
норвегія,norway
німеччині,germany
ворошиловський суд донецька,voroshilovsky court of donetsk
pic.twitter.com/ibucjpjvgy новости донбасса,pic.twitter.com/ibucjpjvgy news of the donbass
донода,a donation
донеччині,to the city
роман лягін,novel lyagin
г.донецка,donetsk
ода,oh yeah
донецке,donetsk
українська правда,ukrainian pravda
донецької народної республіки,donetsk people's republic
донецьку,donetsk
ленинского,leninist
донецької республіки,donetsk republic
petr rikov,petr rikov
новости донбасса,news of the donbass
центрвиборчкому самопроголошеної,polling center self-proclaimed
володимир венчак,volodymyr wreath
червоненко,chervonenko
катеринчука,katerinchuk
євген червоненко,evgeny chervonenko
консерваторії,conservatory
володимир парасюк,volodymyr parasyuk
лопашінського,lopashinsky
готелю козацький,hotel cossack
андрій наваляний,andrew is banged
будівлі готелю україна,hotel building ukraine
програми 16+ skrypin.ua,programs 16+ skrypin.ua
ради,for the sake of
петренко,petrenko
володимира оленцевича,volodymyr olenetsevich
донецького,donetsk
павло петренко,pavlo petrenko
російської федерації,russian federation
парламентського контрольного органу бундестагу фрн,parliamentary control body of the bundestag fn
пасажирського літака boeing 777,passenger aircraft boeing 777
волновахи,volcanoes
тв звезда украинский,tv star ukrainian
ракета 9м38,rocket 9m38
левада-центру,levada-center
збройних сил,armed forces
російською,in russian
atsb,thanks
селища розсипне,settlements are spreading
порошенко,powder
lifenews,lifenews
громаді гарлемермер,the community is a handsome meter
радою,by council
канберрі,canberra
михайло малишевський,mykhailo malyshevsky
лондона,london
53-ї зенітно-ракетної бригади з курська,the 53rd anti-missile crew from the kursk
ян новіков,jan newcomers
служба безпеки україни,security service of ukraine
прокуратури нідерландів,prosecutor's office of the netherlands
козіцин,cozicin
europol,europol
українського кордону,the ukrainian border
відні г.батжаргал,rhine g.butzhargal
генеральному штабі україни,general staff of ukraine
миколою козіциним,mykola kositsynym
борисполі,borispol
донським,don
іспанського,spanish
пасажирського літака рейсу mh17,passenger airplane flight mh17
російських,n
російським,russian
російське,russian
російський,russian
донецьком,donetsk
буків,beeches
риа новости,ria news
ріа новості,ria news
обсє,company
вооз,booz
віктора янукович,viktor yanukovych
луганської областей,luhansk regions
харківська область,kharkiv region
малофеєва,low-calorie
добкін,dodkin
кримом,crimea
володимир семків,volodymyr semkov
погроза глазєва,the threat of glaze
фракції реґіонів,factions of regions
костянтина малофеєва,konstantin malofeev
царьов,the tsars
михайла добкіна,mikhail dobkin
мінських,minsk
кремлю,the kremlin
німецькому,german
вулиці інститутській,street institute
сергія аксьонова,serhii axonov
переяславську раду-2,pereyaslav radu-2
переяславську раду,pereiaslav council
харківщина,kharkiv region
вулицею інститутською,street institute
львові,lions
колєсніченком,kolesnichenko
нової газети,new newspaper
генеральному штабі,the general staff
гіркіна,bitterness
сіверськодонецька-2,severskodonetsk-2
майдан,maidan
геннадій кернес,gennady kernes
сході,in the east
сбу,sb
ігор гіркін,playing bitter
верховною радою,the supreme council
нідерландський,dutch
бєс,beats
вашингтон,washington dc
держдепі,state bank
саманта пауер,samantha power
венесуела,venezuela
хакерські,hacking
реджеп таїп ердоган,recep tayyip erdogan
великої британії,great britain
гленн томас,glenn tomass
комплекс sa-11 бук,complex sa-11 beech
снідом,breakfast
карлос,carlos
спільна слідча група,joint investigation team
малайзії,malaysia
голландське видання nos,dutch edition nos
сергій петровський,sergey petrovsky
борт,board
мельбурні,melbourne
гергард шиндлер,gergard shindler
петро порошенко,petro powder
російської території,russian territory
торезу,cutter
варшави,warsaw
організацією журналістських розслідувань correct,the organization of journalistic investigations is correct
інтернет-сторінці,web page
boeing,boeing
the boeing company,the boeing company
володимир бабак,volodymyr babak
бурсі,bourse
марк рютте,mark ruete
франція,france
бабак,marmot
максима,maxim
сергія мучкаєва,sergey munchyev
ntsb,ntsb
гераніну,geranine
the washington post,the washington post
федеральної служби захисту конституції німеччини,federal service for the protection of the constitution of germany
міжнародна група слідчих,an international group of investigators
пентагоні,the pentagon
партія реґіонів,party of regions
митного союзу,customs union
партії реґіонів,party of regions
верховна рада,verkhovna rada
володимира константінова,volodymyr konstantinov
заході україни,west of ukraine
кремль,kremlin
росією,russia
парламентського кворуму,parliamentary quorum
харкова,kharkiv
небесної сотні,hundreds of heaven
олександр бородай,alexander beard
добкіну,dockin
ard,ard
аксьоновим,axonium
харківській області,kharkiv region
сергій глазьєв,sergey glazyev
комсомольська правда,komsomol truth
східних областей,eastern regions
беркуту,the golden eagle
михайло добкін,mikhail dobkin
харківської,kharkiv
видання новая газєта,edition of a new newspaper
харкові,kharkov
майданом,maidan
слов'янська,slavic
олександр турчинов,alexander turchinov
проросійсько,pro-russian
стрєлков,strelets
харкову,kharkov
івано-франківську,ivano-frankivsk
кабінетом міністрів,cabinet of ministers
віктор петренко,viktor petrenko
новопсков,novopskov
лисенко,lysenko
великоновосілківського,of the velikonovsilkivsky
валентина ткалича,valentine weaver
дніпропетровською областю - добропільського,dnipropetrovsk region - dobropilsky
білокуракине,white curraine
михайло лисенко,mykhailo lysenko
луганської області,lugansk region
горлівки,throat
марківку,markovka
луганської облдержадміністрації,lugansk regional state administration
михайла лисенка,michael lysenko
радіо свобода,radio freedom
цвк,blossom
центральної виборчої комісії,the central election commission
луганської окружкому,luhansk district
збройних формувань,armed formations
пантелеймонівки,panteleymonovki
ірина веригіна,irina verigina
луганської народної республіки,lugansk people's republic
дніпропетровською областю,dnipropetrovsk region
дніпропетровської області,dnipropetrovsk region
луганська,lugansk
сватове,swat
красноармійського,red army
дніпропетровщини,dnipropetrovsk region
zik/epa/upg,zik / epa / upg
територій,territories
міст,bridge
костянтинівку,kostiantynivka
військові,the military
краматорськ,kramatorsk
словянська,slavic
краматорська,kramatorskaya
місто,city
міськрадою словянська,city slavic
сил ато,forces ato
національної гвардії увійшли,national guard entered
сили,strength
інші,others
донецької області,donetsk region
українські,ukrainian
слов’янськ,slavic
влада,power
укрінформ,ukrinform
виробництва,production
дружківку,friendship
бахмут,fool
експерт,expert
донецька обласна військово-цивільна державна адміністрація,donetsk regional civil-military state administration
окупанти,occupiers
національної гвардії,national guard
межигір'ї,mezhigorye
ігоря гіркіна,igor bitter
нєзалежная украіна,independent ukraine
майданові,maidan
гіркін,bitter bitter
сході україни,east of ukraine
руху днр,movement of dnr
урядового кварталу,government quarter
віктор федорович,victor fedorovich
кремля,the kremlin
державного розвідувального управління росії,state intelligence agency of russia
літака boeing-777 рейсу mh17,boeing 777 flight mh17
eurocontrol,eurocontrol
миргороду,myrgorod
рейтер,raider
української,ukrainian
літака boeing 777,plane boeing 777
американська,american
американські,american
сполучені штати,the united states
американський,american
join investigation team,join investigation team
міжнародного суду оон,international court of un
аеропорту схіпгол,airport shiggol
роберт де конінг,robert de koning
донецькою областю,donetsk region
комплексом бук,beech complex
mh 17,mh 17
der spiegel,der spiegel
шпіґель,spy
пасажирський,passenger's
донецька[ред,donetsk [ed
василь вовк,basil the wolf
батальйону восток,east battalion
кордону з україною,the border with ukraine
федеральної розвідувальної служби німеччини,federal intelligence service of germany
голландського,dutch
гру днр,game dnr
віталій ярема,welcome yarema
чорнухіне,black hair
бельгії,belgium
літак рейсу мн17,flight plane mn17
група bellingcat,group bellingcat
ради безпеки оон,for safety un
раді безпеки оон,welcome to unity security
монголії,mongolia
каналу 3aw,channel 3aw
мнс росії,ms russia
2016 р. група bellingcat,2016 bellingcat group
група мінера,group of minerals
пасажирський літак боїнг,passenger plane boating
пасажирський літак боїнг-777,passenger plane boeing 777
рейсу mh17,flight mh17
район донецька,donetsk region
донецька,donetsk
грабовим,hornbeam
юрій сергеєв,yuri sergeyev
європейської організації з безпеки аеронавігації,european organization for the safety of air navigation
ігор безлєр,games of nobles
авіаліній малайзії,malaysia airlines
іспанський,spanish
велика британія,united kingdom
бойовою частиною типу 9н314,combat part of type 9n314
романа лягіна,flax romance
донецької обласної міськадміністрації,donetsk regional state administration
лягін,linen
голландському,dutch
тоні ебботт,tony ebbott
системою sa-11 бук,system sa-11 beech
системи бук,systems of beech
петропавлівської,petropavlovskaya
чорнухінського,black china
рада безпеки нідерландів,netherlands security council
видання nos.nl фрагменти,edition nos.nl fragments
німецька,german
фрн,fn
німецькі,german
перетині вулиці шахтобудівельників,crossing the street of miners
впс,uh
бойовою частиною типу 9м314 або 9м314м1,a combat unit of type 9m314 or 9m314m1
макіївка,makeevka
телеканал lifenews,television channel lifenews
генеральної прокуратури нідерландів,general prosecutor's office of the netherlands
видання deutsche welle,edition deutsche welle
боїнга мн17,boeing mn17
тореза,cutter
національного бюро,national bureau
міжнародної організації кримінальної поліції,international criminal police organization
спільної групи з розслідування,joint investigation team
хмурий,funereal
гру гш зс рф,game gszsrf
53-ї зенітно-ракетної бригади,53rd anti-aircraft missile crew
bea,bea
українське,ukrainian
українським,ukrainian
boeing-777 рейсу mh17,boeing-777 flight mh17
місті гілверсум,city of hylands
міжнародне товариство боротьби,international society of struggle
міжнародного товариства боротьби,international wrestling community
aaib,awesome
вім де брюн,wim de brun
